nisn,nama,asal_sekolah,nilai_sem1,nilai_sem2,nilai_sem3,nilai_sem4,nilai_sem5
1234567890,Andi Pratama,SMPN 1 Jakarta,85,88,90,87,89
1234567891,Budi Santoso,SMPN 2 Jakarta,78,80,82,79,81
1234567892,Citra Dewi,SMPN 3 Jakarta,92,91,93,94,95
1234567893,Dewi Lestari,SMPN 4 Jakarta,70,72,74,73,75
1234567894,Eka Putra,SMPN 5 Jakarta,88,86,87,89,90
1234567895,Fajar Hidayat,SMPN 6 Jakarta,65,67,69,68,70
1234567896,Gita Sari,SMPN 7 Jakarta,90,92,91,93,94
1234567897,Hadi Saputra,SMPN 8 Jakarta,80,81,83,82,84
1234567898,Indah Permata,SMPN 9 Jakarta,75,77,76,78,79
1234567899,Joko Susilo,SMPN 10 Jakarta,85,84,86,87,88
1234567800,Kiki Amelia,SMPN 11 Jakarta,88,89,90,91,92
1234567801,Lina Marlina,SMPN 12 Jakarta,70,72,71,73,74
1234567802,Maya Sari,SMPN 13 Jakarta,95,96,97,98,99
1234567803,Nina Agustin,SMPN 14 Jakarta,60,62,61,63,64
1234567804,Oscar Prabowo,SMPN 15 Jakarta,82,83,85,84,86
1234567805,Putri Ayu,SMPN 16 Jakarta,77,79,78,80,81
1234567806,Quintus Aditya,SMPN 17 Jakarta,91,92,93,94,95
1234567807,Rina Wulandari,SMPN 18 Jakarta,68,70,69,71,72
1234567808,Satria Nugraha,SMPN 19 Jakarta,87,88,89,90,91
1234567809,Tari Puspita,SMPN 20 Jakarta,73,75,74,76,77
